label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
broad,Cooling_Thermal_Load,0.035923035380311275,8.240680329635765e-18,0.009710607655807557,0.02014178304496463,1.3973327515469338e-17,0.03142118155014482,False,False
broad,Laser_Cleaning_Demand,-0.11433086851934215,8.494635146453961e-165,0.10934358837391467,6.595150594706482e-151,3.681008563463383e-164,2.3382806653959346e-150,False,False
broad,Cleaning_Capacity,-0.14332291892742655,8.878137972969277e-258,0.11388178146747086,1.6040005937352114e-163,8.656184523645045e-257,6.255602315567325e-163,False,False
broad,Cleaning_Load_Ratio,0.06836254976001044,3.765298153648513e-60,0.16338844482316817,0.0,7.3423313996146e-60,0.0,False,False
broad,Package_Size_Asymmetry,0.09662852230014574,2.738099148746069e-118,0.09402533772145594,4.173312257128874e-112,6.2815215765350995e-118,1.017244862675163e-111,False,False
broad,Maintenance_Count,-0.011903672508194352,0.0043500645879635345,0.0013152615148792624,0.7519582244012325,0.006786100757223113,0.7926046149094073,False,False
pure,Laser_Power,0.08242617595981039,6.6894751722011115e-46,-0.09979626592541302,1.9092945203475053e-66,1.265600505190697e-44,1.9860938292845264e-65,False,False
pure,Power_Efficiency,0.08227387821602683,9.7353885014669e-46,-0.08996959172251451,2.402731258602673e-54,1.265600505190697e-44,1.171331488568803e-53,False,False
pure,Laser_Centering_Position,-0.06850595378768776,3.069978755442222e-32,-0.06266042174119235,3.033812605546492e-27,9.977430955187222e-32,7.394918226019574e-27,False,False
pure,Laser_Current,-0.00619822105457013,0.28486402508844433,-0.0018265526391983977,0.7526417407801472,0.4012873979091212,0.7933250781196147,False,False
pure,Laser_Voltage,-0.0017334718028484408,0.7648656912095604,-0.0028648215764600637,0.6210919468834977,0.8044140654680388,0.73401775540777,False,False
pure,Beam_Diameter,0.002809029303756372,0.6279056165556729,0.007061367060091417,0.22307741927216673,0.72024467781386,0.3222229389486853,False,False
pure,Frequency,-0.0022037088662119064,0.7037722283621675,0.10975697248174132,5.573798451228968e-80,0.7624199140590147,1.0868906979896488e-78,False,False
pure,Feed_Speed,-0.006156690619540384,0.2881037728578306,0.003275033564947183,0.5720177560828015,0.4012873979091212,0.6971466402259143,False,False
pure,Alignment_Time,0.007044215671118792,0.22420350029228486,-0.004556964482294479,0.43170937282448696,0.3363052504384273,0.561222184671833,False,False
pure,Process_Time,0.0007100547058014328,0.9024915415182806,0.001229553706318054,0.8319898488993676,0.9024915415182806,0.8538843186072457,False,False
pure,Cutting_X_Index,-0.0015902518351326167,0.7837880637893712,-0.012954475178239444,0.025404400851873343,0.8044140654680388,0.045035074237411835,False,False
pure,Cutting_Y_Index,-0.0046459888622353285,0.4227667981742276,-0.00026245691157533724,0.9638802382147212,0.5152470352748398,0.9638802382147212,False,False
pure,Head_Temp,-0.07511276193049432,2.058644915345524e-38,-0.08715714534170349,4.119296340630315e-51,1.003589396230943e-37,1.7850284142731362e-50,False,False
pure,Cooling_Flow,0.03852834994151699,2.975511190640505e-11,-0.018229655144431978,0.0016586515045077367,6.446940913054427e-11,0.003234370433790087,False,False
pure,Cooling_Water_Temp,-0.0053057860330866236,0.35994314649176373,-0.00201091105050355,0.7286157300330408,0.4615534501712163,0.7893337075357941,False,False
pure,CLN_Flow,-0.005229669659199909,0.3668758193668642,-0.0038654633662091875,0.5047987641777325,0.4615534501712163,0.6350694129977925,False,False
pure,CLN_Pressure,0.011725376947836708,0.04306020001126233,-0.008898645552479989,0.12468699404195721,0.07996894287805861,0.19451171070545323,False,False
pure,CLN_Time,0.003720006830365108,0.5209646469048175,-0.0115210551883963,0.046825912663187017,0.6156854917966025,0.07940046060279538,False,False
pure,Coating_Flow,0.008397032043157893,0.14738095858799882,-0.005168287729633625,0.3725274153870728,0.2394940577054981,0.5188774714319943,False,False
